Model,Method,Mode,Train,Test,Closed_Rank1,Closed_EER,Closed_Mean_Genuine,Closed_Mean_Impostor,Open_Rank1,Open_KL_Gate_EER,Open_Uncertainty_EER,Open_EER,Open_Mean_Genuine,Open_Mean_Stranger,Open_AUROC,Open_DIR_1,Open_DIR_01,Open_OSCR
unet_resnet,Baseline,mode0,tongji,iitd,74.2600 ± 5.2757,15.5900 ± 1.3747,34.0000 ± 0.8165,34.0000 ± 0.8165,68.4433 ± 5.7370,27.5600 ± 0.5309,48.8400 ± 4.2507,37.7333 ± 5.1403,34.0000 ± 0.8165,34.0000 ± 0.8165,67.7900 ± 4.0961,24.9433 ± 3.8520,18.8333 ± 5.2640,58.7767 ± 6.0344
unet_resnet,Baseline,mode0,tongji,tongji,79.9333 ± 2.7777,6.4700 ± 0.4670,44.6667 ± 1.2472,44.6667 ± 1.2472,66.1333 ± 7.2468,32.2833 ± 2.4223,47.8333 ± 3.6003,31.4167 ± 3.4123,44.6667 ± 1.2472,44.6667 ± 1.2472,75.6433 ± 4.3085,24.7333 ± 11.8055,22.0000 ± 11.6973,60.6533 ± 7.7908
unet_resnet,Baseline,mode3,iitd,iitd,98.8900 ± 0.3960,1.7467 ± 0.7553,11.0000 ± 0.8165,11.0000 ± 0.8165,92.7933 ± 1.9753,14.6800 ± 3.7937,46.2633 ± 5.3174,7.4333 ± 1.9439,11.0000 ± 0.8165,11.0000 ± 0.8165,95.0033 ± 1.3742,86.1633 ± 4.7704,85.0500 ± 4.1972,92.1800 ± 1.8560
unet_resnet,Baseline,mode3,iitd,tongji,50.4000 ± 4.8689,26.8433 ± 1.7322,16.0000 ± 0.8165,16.0000 ± 0.8165,48.0667 ± 5.9785,32.3900 ± 2.8440,53.9000 ± 3.4881,53.6833 ± 2.3680,16.0000 ± 0.8165,16.0000 ± 0.8165,45.1167 ± 3.8467,5.8667 ± 1.7988,2.6667 ± 0.6600,30.2767 ± 4.1157
unet_resnet,Baseline,mode3,tongji,iitd,74.2600 ± 5.2757,15.5900 ± 1.3747,37.3333 ± 0.4714,37.3333 ± 0.4714,68.4433 ± 5.7370,27.5600 ± 0.5309,48.8400 ± 4.2507,37.7333 ± 5.1403,37.3333 ± 0.4714,37.3333 ± 0.4714,67.7900 ± 4.0961,24.9433 ± 3.8520,18.8333 ± 5.2640,58.7767 ± 6.0344
unet_resnet,Baseline,mode3,tongji,tongji,79.9333 ± 2.7777,6.4700 ± 0.4670,40.0000 ± 0.8165,40.0000 ± 0.8165,66.1333 ± 7.2468,32.2833 ± 2.4223,47.8333 ± 3.6003,31.4167 ± 3.4123,40.0000 ± 0.8165,40.0000 ± 0.8165,75.6433 ± 4.3085,24.7333 ± 11.8055,22.0000 ± 11.6973,60.6533 ± 7.7908
unet_resnet,Proposed,mode0,iitd,iitd,97.5133 ± 2.4333,1.0200 ± 0.5305,31.6667 ± 1.2472,31.6667 ± 1.2472,97.7900 ± 2.0606,1.0367 ± 0.4789,42.8067 ± 2.7517,2.6933 ± 0.6033,31.6667 ± 1.2472,31.6667 ± 1.2472,99.3267 ± 0.3272,95.2933 ± 1.0255,93.6267 ± 2.7541,97.6100 ± 2.0638
unet_resnet,Proposed,mode0,iitd,tongji,71.4667 ± 1.2257,11.2700 ± 1.4551,42.0000 ± 0.8165,42.0000 ± 0.8165,71.2000 ± 0.9933,14.9833 ± 1.4335,50.0000 ± 1.9778,36.6667 ± 2.8706,42.0000 ± 0.8165,42.0000 ± 0.8165,68.7400 ± 4.1489,14.2667 ± 4.4582,6.2000 ± 3.3025,57.9900 ± 3.0510
unet_resnet,Proposed,mode0,tongji,iitd,81.7233 ± 1.7190,10.6567 ± 0.9188,38.6667 ± 27.3537,38.6667 ± 27.3537,81.1700 ± 1.8809,14.3300 ± 0.9874,48.4400 ± 5.7073,24.6267 ± 2.5198,38.6667 ± 27.3537,38.6667 ± 27.3537,79.3833 ± 3.0459,41.5567 ± 3.8175,37.6867 ± 5.3761,74.3033 ± 2.2263
unet_resnet,Proposed,mode0,tongji,tongji,89.0000 ± 1.1776,4.6933 ± 0.4929,46.6667 ± 1.2472,46.6667 ± 1.2472,89.0667 ± 1.2037,5.0467 ± 0.5437,48.9000 ± 1.6628,17.1000 ± 1.2172,46.6667 ± 1.2472,46.6667 ± 1.2472,91.6700 ± 1.0135,58.2000 ± 4.5373,49.6667 ± 5.4218,85.4400 ± 1.1552
unet_resnet,Proposed,mode3,iitd,iitd,97.7900 ± 1.4003,1.0133 ± 0.4905,35.0000 ± 0.8165,35.0000 ± 0.8165,98.3400 ± 1.3513,1.0367 ± 0.4789,42.8067 ± 2.7517,2.6100 ± 0.9371,35.0000 ± 0.8165,35.0000 ± 0.8165,99.4867 ± 0.1668,95.8467 ± 0.6655,95.0133 ± 0.6780,98.1767 ± 1.3179
unet_resnet,Proposed,mode3,iitd,tongji,72.2667 ± 1.3098,12.2400 ± 0.9283,38.0000 ± 0.8165,38.0000 ± 0.8165,72.0667 ± 1.3888,14.9833 ± 1.4335,50.0000 ± 1.9778,35.7333 ± 3.6107,38.0000 ± 0.8165,38.0000 ± 0.8165,69.0067 ± 4.7116,15.4000 ± 6.2032,5.2667 ± 1.9137,58.5767 ± 4.3916
unet_resnet,Proposed,mode3,tongji,iitd,84.2200 ± 2.3835,10.1300 ± 1.5128,54.0000 ± 0.8165,54.0000 ± 0.8165,84.2200 ± 2.3835,14.3300 ± 0.9874,48.4400 ± 5.7073,23.5233 ± 3.5861,54.0000 ± 0.8165,54.0000 ± 0.8165,80.9067 ± 3.2050,48.7467 ± 6.3725,42.6467 ± 6.5898,76.3767 ± 2.6548
unet_resnet,Proposed,mode3,tongji,tongji,89.4000 ± 1.4967,4.0700 ± 0.6111,50.3333 ± 1.2472,50.3333 ± 1.2472,89.5333 ± 1.5434,5.0467 ± 0.5437,48.9000 ± 1.6628,15.4500 ± 0.5612,50.3333 ± 1.2472,50.3333 ± 1.2472,92.7367 ± 0.8179,63.0000 ± 5.6166,53.0000 ± 8.7377,86.6867 ± 1.1303
